STATE,ABBREV,COUNT
Alaska,AL,0
Alabama,AK,93
Arizona,AZ,34
Arkansas,AR,11
California,CA,292
Colorado,CO,23
Connecitcut,CT,12
D.C.,DC,12
Delaware,DE,10
Florida,FL,318
Gergia,GA,180
Hawaii,HI,15
Idaho,ID,5
Illinois,IL,90
Indiana,IN,36
Iowa,IA,23
Kansas,KS,14
Kentucky,KY,24
Louisiana,LA,108
Maine,ME,2
Maryland,MD,59
Massachusetts,MA,14
Michigan,MI,65
Minnesota,MN,30
Mississippi,MS,62
Missouri,MO,42
Montana,MT,2
Nebraska,NE,16
Nevada,NV,11
New Hampshire,NH,1
New Jersey,NJ,91
New Mexico,NM,3
New York,NY,52
North Carolina,NC,81
North Dakota,ND,2
Ohio,OH,124
Oklahoma,OK,27
Oregon,OR,18
Pennsylvania,PA,93
Rhode Island,RI,0
South Carolina,SC,63
South Dakota,SD,5
Tennessee,TN,64
Texas,TX,256
Utah,UT,25
Vermont,VT,0
Virginia,VA,63
Washington,WA,32
West Virginia,WV,3
Wisconsin,WI,35
Wyoming,WY,3